mag,depth,rad,prov,lat,lon,prov_enco
3.4,69,72,NTB,-9.1,118.14,8
4.5,106,54,MALUKUBRTDAYA,-7.67,127.86,14
3.7,10,145,SULUT,-0.22,125.48,15
3.4,10,32,MALUT,1.58,128.6,5
3.4,96,86,GORONTALO,-0.21,122.91,12
3.9,49,28,PAPUA,-2.75,139.75,10
4.6,10,28,MALUT,1.51,128.65,5
3.6,10,37,JATIM,-7.89,114.32,29
4.0,53,14,PAPUA,-1.86,136.24,10
2.7,182,18,GORONTALO,0.33,122.05,12
3.3,32,42,PAPUA,-2.83,139.51,10
3.4,130,18,BANTEN,-6.5,106.1,21
3.3,21,78,PAPUA,-2.5,140.36,10
3.2,155,16,SUMUT,1.64,99.42,2
3.2,123,35,NTB,-9.07,116.86,8
4.4,404,102,NTT,-7.61,120.14,7
4.3,10,157,SULTENG,2.17,122.1,11
5.5,148,643,PAPUA,-5.79,146.17,10
3.7,10,80,PAPUABRT,-2.59,133.65,1
2.4,13,55,NTT,-8.16,125.03,7
3.0,20,46,SUMBAR,0.02,99.42,20
3.4,11,26,ACEH,4.77,96.2,23
3.3,10,9,PAPUA,-2.92,139.9,10
2.4,10,7,SULBAR,-2.94,119.39,30
2.1,10,26,NTT,-9.75,123.87,7
3.2,10,15,NTT,-9.85,123.87,7
3.0,10,15,SULBAR,-2.97,119.45,30
2.1,10,27,JABAR,-6.73,106.59,4
3.0,102,60,GORONTALO,0.07,122.86,12
5.0,37,13,NTT,-10.01,123.77,7
3.6,15,47,BENGKULUSELATAN,-4.86,102.79,18
3.8,26,65,JABAR,-8.29,108.47,4
5.2,10,194,MALUKUTENGGARABRT,-6.68,130.12,25
4.0,21,39,PAPUA,-3.91,139.78,10
2.8,10,36,MALUKUTENGAH,-3.61,128.84,3
2.8,10,28,SULTENG,0.77,120.52,11
2.6,11,27,NTB,-8.42,116.61,8
3.0,10,39,PAPUA,-2.89,139.51,10
2.9,26,27,ACEHSINGKIL,2.1,97.84,35
3.2,10,122,MALUKUTENGAH,-4.37,128.7,3
2.7,35,18,NTT,-9.6,120.01,7
4.3,26,61,SULUT,4.43,127.03,15
4.4,10,4,JABAR,-6.82,107.93,4
2.8,23,50,MALUKU,-2.99,127.75,6
2.6,10,89,NTT,-9.22,122.75,7
5.5,46,74,SULUT,-0.2,123.65,15
3.7,97,177,MALUKU,-4.57,131.12,6
4.8,23,76,NTB,-7.96,117.86,8
2.8,10,51,SULTENG,-1.11,120.39,11
3.1,10,12,NTB,-8.31,116.96,8
3.5,10,6,PAPUA,-3.0,139.91,10
3.2,10,22,ACEHTENGAH,4.63,96.64,9
3.4,32,73,MALUT,1.52,126.95,5
2.7,123,20,ACEHTENGAH,4.6,96.66,9
2.5,102,11,LAMPUNG,-5.42,104.77,16
2.8,32,53,MALUKUTENGAH,-3.69,128.67,3
2.8,10,15,SULTENG,-1.51,119.81,11
2.3,10,32,SULTENG,-0.71,119.89,11
4.1,10,7,PAPUA,-2.99,139.92,10
3.8,168,21,JABAR,-7.01,107.19,4
3.4,10,2,PAPUA,-2.97,139.87,10
2.8,254,22,SULUT,0.68,124.02,15
3.1,10,29,SULTENG,-1.3,120.51,11
4.0,16,90,ACEHBESAR,5.18,94.8,32
3.9,10,92,SULTENG,-1.94,122.49,11
3.8,226,23,SULUT,1.52,124.76,15
3.3,23,74,NTB,-8.01,118.05,8
4.1,10,265,JATENG,-10.1,109.3,33
4.4,10,15,NTT,-9.66,124.96,7
3.3,12,80,MALUKUTENGAH,-2.58,128.91,3
4.7,37,68,SUMUT,1.1,98.69,2
3.6,10,106,DIY,-8.67,109.73,28
2.7,10,39,SULTENG,0.9,120.4,11
3.6,10,108,PAPUABRT,-4.22,133.65,1
2.4,124,18,JAMBI,-1.71,101.42,19
2.9,25,100,JABAR,-7.82,106.98,4
4.0,10,134,JABAR,-8.71,107.83,4
3.1,11,60,BANTEN,-7.47,106.18,21
2.7,10,74,GORONTALO,-0.16,121.7,12
2.8,137,26,NTB,-8.5,117.66,8
3.0,94,93,PAPUA,-1.6,135.34,10
3.4,10,21,NTT,-9.67,125.04,7
4.1,10,21,NTT,-9.66,125.05,7
5.1,10,25,NTT,-9.71,125.05,7
4.3,10,43,NTT,-8.86,123.43,7
3.9,10,129,SULUT,2.93,127.13,15
3.6,10,44,MALUKU,-2.96,130.12,6
4.3,10,80,BANTEN,-7.57,105.91,21
3.8,201,249,MALUKUTENGGARABRT,-5.96,130.3,25
4.4,20,144,SULUT,0.5,126.02,15
2.9,64,17,JABAR,-6.64,107.58,4
3.0,162,31,NTB,-8.39,117.69,8
3.0,10,61,SULTENG,-0.67,121.88,11
3.2,29,82,DIY,-8.73,110.54,28
2.7,12,15,DIY,-8.0,110.45,28
3.0,10,29,SULTENG,-1.64,120.66,11
2.5,10,43,SULTENG,-1.26,121.18,11
3.2,38,56,JATENG,-8.23,109.07,33
3.8,10,67,BANTEN,-7.47,105.98,21
4.7,10,187,SULUT,5.38,127.64,15
2.9,17,29,ACEH,2.24,96.24,23
2.7,10,120,SUMBAR,-0.62,98.99,20
2.6,104,27,SULTENG,0.38,120.94,11
2.4,102,25,SULTENG,0.36,120.87,11
3.6,10,44,ACEH,4.62,96.42,23
3.2,10,78,BANTEN,-7.59,105.99,21
4.2,10,85,BANTEN,-7.64,105.95,21
5.1,14,75,BANTEN,-7.56,106.0,21
3.7,10,34,NTT,-8.44,120.72,7
3.4,13,74,BANTEN,-7.53,105.96,21
3.1,10,74,BANTEN,-7.55,106.0,21
2.7,10,56,BANTEN,-7.41,106.08,21
5.8,10,79,BANTEN,-7.57,105.94,21
3.0,10,54,SULSEL,-2.42,120.71,17
3.6,96,53,NTT,-8.27,121.57,7
3.8,116,62,MALUT,1.78,127.22,5
4.2,24,69,PAPUA,-4.43,137.04,10
3.5,10,19,PAPUABRT,-1.73,133.32,1
3.8,25,57,ACEHJAYA,4.64,95.06,36
4.3,31,29,BENGKULU,-5.61,102.3,13
2.7,174,62,NTT,-8.16,123.95,7
5.2,11,356,PAPUA,-6.44,143.48,10
2.8,10,76,SUMUT,0.59,98.5,2
2.6,10,36,ACEH,4.99,95.95,23
3.7,369,117,NTT,-7.54,120.35,7
3.2,10,110,JATIM,-9.08,111.91,29
3.8,81,53,NTB,-8.82,119.07,8
2.9,10,8,SULBAR,-2.98,119.35,30
3.0,149,15,SUMBAR,0.17,100.3,20
4.5,321,240,MALUKU,-5.7,128.85,6
2.0,10,10,NTT,-9.48,124.51,7
4.6,288,97,MALUKUBRTDAYA,-7.46,127.25,14
3.6,156,56,JAMBI,-2.59,102.28,19
3.7,10,9,NTT,-9.52,124.55,7
4.2,10,141,ACEH,2.27,95.11,23
4.7,153,88,SULUT,4.7,126.29,15
4.3,300,59,NTB,-7.96,117.33,8
5.3,10,212,SULUT,4.04,128.59,15
4.4,10,134,MALUT,1.58,126.37,5
2.8,11,26,MALUKUTENGAH,-3.07,128.9,3
3.6,28,90,NTB,-9.47,115.92,8
4.0,10,136,SULUT,1.63,126.34,15
4.6,164,225,MALUKUTENGGARABRT,-6.34,130.1,25
3.3,10,10,SULBAR,-3.0,119.35,30
4.8,11,108,ACEH,2.6,95.4,23
4.1,252,57,GORONTALO,-0.06,121.94,12
2.8,11,21,SULSEL,-2.46,121.02,17
2.2,10,42,SULTRA,-4.4,123.11,37
3.8,13,156,SUMBAR,-0.61,98.62,20
5.7,25,150,SUMUT,-0.63,98.43,2
2.4,23,55,NTB,-9.09,117.22,8
3.1,10,10,SUMUT,0.97,99.67,2
3.1,10,86,SULUT,0.86,125.64,15
3.6,10,37,SULUT,4.25,126.9,15
2.5,10,23,BALI,-8.16,114.88,22
3.2,10,62,NTT,-10.31,124.6,7
4.1,10,65,SULTENG,1.2,120.27,11
2.9,74,27,NTT,-8.53,120.23,7
3.4,35,72,MALUT,1.83,127.14,5
2.7,17,54,SULBAR,-3.82,119.02,30
4.1,213,274,MALUKUTENGAH,-5.6,129.85,3
3.4,10,112,SULTENG,1.07,119.76,11
4.9,10,515,SULUT,8.61,126.2,15
3.1,184,14,SULUT,0.25,123.96,15
3.2,31,32,NTT,-9.82,124.71,7
3.0,28,93,JABAR,-8.12,107.74,4
5.2,640,43,JATIM,-6.54,113.97,29
3.3,10,13,BALI,-8.24,114.54,22
3.1,240,21,GORONTALO,0.46,122.14,12
3.1,10,49,SULTENG,1.04,121.79,11
2.9,10,43,SULTENG,-1.33,120.37,11
5.3,28,657,PAPUA,-0.87,146.14,10
2.4,10,9,SULSEL,-2.59,121.26,17
3.4,10,33,ACEH,4.52,96.41,23
3.1,16,31,NTB,-8.32,116.44,8
2.7,61,43,BENGKULU,-2.95,101.85,13
3.5,28,32,PAPUA,-2.52,139.49,10
4.6,123,581,SULUT,9.16,125.82,15
4.6,168,100,MALUKUBRTDAYA,-7.65,128.54,14
3.2,10,4,SULTENG,-1.08,121.5,11
3.9,170,21,SUMUT,1.4,99.46,2
3.1,10,130,DIY,-9.15,110.41,28
3.6,10,97,DIY,-8.86,110.48,28
3.5,107,38,JATIM,-8.48,112.24,29
3.4,10,81,DIY,-8.72,110.53,28
3.4,10,81,DIY,-8.72,110.51,28
4.5,10,123,DIY,-9.09,110.42,28
3.0,18,14,NTT,-10.12,120.63,7
4.3,10,6,BALI,-8.33,114.54,22
4.3,129,25,NTT,-8.53,122.89,7
2.1,10,15,SULBAR,-2.94,119.46,30
3.1,11,46,MALUT,-2.04,125.55,5
4.0,27,46,BENGKULU,-4.48,102.45,13
3.0,26,85,JATENG,-8.41,109.36,33
4.5,132,60,SULUT,3.09,125.78,15
2.3,19,21,JABAR,-6.99,106.74,4
2.0,24,61,JABAR,-7.47,106.82,4
2.3,19,21,JABAR,-6.99,106.74,4
