created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thu Nov 30 09:11:12 +0000 2023;1730152486621925459;""#Gempa Mag:3.9", 30-Nov-2023 16:08:45WIB, Lok:8.27LS, 119.90BT (25 km TimurLaut LABUANBAJO-NTT), Kedlmn:143 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/kPRPSHtl2H"";0;2;11;34;in;108543358;1730152486621925459;infoBMKG;https://twitter.com/infoBMKG/status/1730152486621925459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 07:43:09 +0000 2023;1730130330466853200;""#Gempa Mag:2.6", 30-Nov-2023 14:38:39WIB, Lok:0.29LS, 122.02BT (83 km Tenggara POHUWATO-GORONTALO), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/KzJa23vqn4"";0;0;1;10;in;108543358;1730130330466853200;infoBMKG;https://twitter.com/infoBMKG/status/1730130330466853200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 06:59:10 +0000 2023;1730119261170061742;""#Gempa Mag:2.6", 30-Nov-2023 13:55:45WIB, Lok:0.61LU, 122.25BT (14 km BaratLaut BOALEMO-GORONTALO), Kedlmn:81 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/DSnEpYqiDv"";0;0;1;5;in;108543358;1730119261170061742;infoBMKG;https://twitter.com/infoBMKG/status/1730119261170061742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 05:45:09 +0000 2023;1730100633766854998;""#Gempa Mag:2.4", 30-Nov-2023 12:39:54WIB, Lok:4.86LU, 96.12BT (23 km BaratDaya KAB-PIDIEJAYA-ACEH), Kedlmn:13 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Qn38W948Ok"";0;0;16;65;in;108543358;1730100633766854998;infoBMKG;https://twitter.com/infoBMKG/status/1730100633766854998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 05:28:09 +0000 2023;1730096355174179166;""#Gempa Mag:2.7", 30-Nov-2023 12:25:39WIB, Lok:0.77LU, 99.83BT (31 km Tenggara MANDAILINGNATAL-SUMUT), Kedlmn:11 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/rhKhOx7Uvv"";0;0;2;7;in;108543358;1730096355174179166;infoBMKG;https://twitter.com/infoBMKG/status/1730096355174179166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 04:43:08 +0000 2023;1730085025646080484;""#Gempa Mag:3.9", 30-Nov-2023 11:38:09WIB, Lok:6.26LS, 103.30BT (138 km BaratDaya PESISIRBARAT-LAMPUNG), Kedlmn:19 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/ivTHmHf9le"";0;0;9;37;in;108543358;1730085025646080484;infoBMKG;https://twitter.com/infoBMKG/status/1730085025646080484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 03:24:10 +0000 2023;1730065152777781421;""#Gempa Mag:5.1", 30-Nov-2023 10:18:14WIB, Lok:6.31LS, 145.65BT (592 km Tenggara BOVENDIGOEL-PAPUA), Kedlmn:61 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/gxk8zXczUx"";0;2;45;135;in;108543358;1730065152777781421;infoBMKG;https://twitter.com/infoBMKG/status/1730065152777781421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thu Nov 30 02:59:10 +0000 2023;1730058863481929938;""#Gempa Mag:2.4", 30-Nov-2023 09:55:37WIB, Lok:2.12LS, 119.07BT (46 km BaratDaya MAMUJUTENGAH-SULBAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/DntgIcwdv6"";0;0;2;10;in;108543358;1730058863481929938;infoBMKG;https://twitter.com/infoBMKG/status/1730058863481929938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 23:25:09 +0000 2023;1730005005346931027;""#Gempa Mag:2.4", 30-Nov-2023 06:18:24WIB, Lok:0.44LU, 120.89BT (18 km Tenggara PARIGIMOUTONG-SULTENG), Kedlmn:85 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Nn37ZALadM"";0;0;3;15;in;108543358;1730005005346931027;infoBMKG;https://twitter.com/infoBMKG/status/1730005005346931027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 22:15:38 +0000 2023;1729987507604099280;""#Gempa Mag:3.2", 30-Nov-2023 04:59:07WIB, Lok:0.10LU, 124.12BT (33 km Tenggara BOLAANGUKI-BOLSEL-SULUT), Kedlmn:89 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/o63xUGDIA6"";0;0;0;9;in;108543358;1729987507604099280;infoBMKG;https://twitter.com/infoBMKG/status/1729987507604099280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 20:43:36 +0000 2023;1729964348397998550;""#Gempa Mag:3.7", 30-Nov-2023 03:27:43WIB, Lok:4.54LU, 96.46BT (37 km TimurLaut KAB-NAGANRAYA-ACEH), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/3I6nvLenfN"";0;0;3;20;in;108543358;1729964348397998550;infoBMKG;https://twitter.com/infoBMKG/status/1729964348397998550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 19:59:36 +0000 2023;1729953273417969769;""#Gempa Mag:2.7", 30-Nov-2023 02:43:48WIB, Lok:8.26LS, 108.15BT (72 km BaratDaya KAB-PANGANDARAN-JABAR), Kedlmn:21 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/hSmx7993Zd"";0;2;5;44;in;108543358;1729953273417969769;infoBMKG;https://twitter.com/infoBMKG/status/1729953273417969769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 19:47:36 +0000 2023;1729950256459370823;""#Gempa Mag:2.9", 30-Nov-2023 02:31:03WIB, Lok:8.14LS, 116.67BT (42 km BaratLaut PULAUPANJANG-NTB), Kedlmn:12 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/L3IBOn9czC"";0;0;0;14;in;108543358;1729950256459370823;infoBMKG;https://twitter.com/infoBMKG/status/1729950256459370823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 19:15:37 +0000 2023;1729942205564121175;""#Gempa Mag:3.0", 30-Nov-2023 01:59:11WIB, Lok:2.94LS, 130.42BT (19 km BaratLaut SERAMBAGIANTIMUR-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/ItoXo9AL0k"";0;0;1;6;in;108543358;1729942205564121175;infoBMKG;https://twitter.com/infoBMKG/status/1729942205564121175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 18:44:36 +0000 2023;1729934400518025250;""#Gempa Mag:2.3", 30-Nov-2023 01:28:40WIB, Lok:8.71LS, 119.49BT (50 km BaratDaya LABUANBAJO-NTT), Kedlmn:104 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Gm6pVK2RIb"";0;0;1;5;in;108543358;1729934400518025250;infoBMKG;https://twitter.com/infoBMKG/status/1729934400518025250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 18:12:37 +0000 2023;1729926350319088066;""#Gempa Mag:2.5", 30-Nov-2023 00:56:33WIB, Lok:1.78LU, 126.36BT (142 km TimurLaut BITUNG-SULUT), Kedlmn:26 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/3fv0Z05j7Q"";0;0;13;32;in;108543358;1729926350319088066;infoBMKG;https://twitter.com/infoBMKG/status/1729926350319088066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 16:08:37 +0000 2023;1729895144722464963;""#Gempa Mag:3.2", 29-Nov-2023 22:52:39WIB, Lok:1.99LU, 128.28BT (6 km BaratDaya DARUBA-MALUT), Kedlmn:119 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/WJZRd67dTR"";0;0;2;11;in;108543358;1729895144722464963;infoBMKG;https://twitter.com/infoBMKG/status/1729895144722464963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 15:50:36 +0000 2023;1729890611724238915;""#Gempa Mag:3.9", 29-Nov-2023 22:34:18WIB, Lok:8.16LS, 123.93BT (60 km TimurLaut LEMBATA-NTT), Kedlmn:144 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/0I3oCxN2Ro"";0;0;1;6;in;108543358;1729890611724238915;infoBMKG;https://twitter.com/infoBMKG/status/1729890611724238915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 15:38:36 +0000 2023;1729887592324456618;""#Gempa Mag:4.3", 29-Nov-2023 22:22:58WIB, Lok:7.61LS, 128.68BT (115 km TimurLaut MALUKUBRTDAYA), Kedlmn:209 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/KzWwQAuhM9"";0;0;2;7;in;108543358;1729887592324456618;infoBMKG;https://twitter.com/infoBMKG/status/1729887592324456618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 14:56:37 +0000 2023;1729877029166997606;""#Gempa Mag:3.1", 29-Nov-2023 21:40:34WIB, Lok:0.03LS, 125.28BT (114 km Tenggara TUTUYAN-BOLTIM-SULUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/nVq757YlBA"";0;0;2;7;in;108543358;1729877029166997606;infoBMKG;https://twitter.com/infoBMKG/status/1729877029166997606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 14:43:38 +0000 2023;1729873761581879746;""#Gempa Mag:3.2", 29-Nov-2023 21:25:48WIB, Lok:2.95LS, 130.44BT (17 km BaratLaut SERAMBAGIANTIMUR-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/Fq2QVj3VAZ"";0;0;3;12;in;108543358;1729873761581879746;infoBMKG;https://twitter.com/infoBMKG/status/1729873761581879746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 13:51:37 +0000 2023;1729860669858795575;""#Gempa Mag:4.0", 29-Nov-2023 20:35:12WIB, Lok:3.13LS, 130.52BT (4 km Tenggara SERAMBAGIANTIMUR-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/HqSjgfz1s2"";0;0;5;20;in;108543358;1729860669858795575;infoBMKG;https://twitter.com/infoBMKG/status/1729860669858795575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wed Nov 29 12:38:36 +0000 2023;1729842295871308160;""#Gempa Mag:4.1", 29-Nov-2023 19:22:15WIB, Lok:2.11LU, 128.95BT (73 km TimurLaut DARUBA-MALUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/y8Td4oQHeY"";0;0;3;6;in;108543358;1729842295871308160;infoBMKG;https://twitter.com/infoBMKG/status/1729842295871308160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tue Nov 28 16:35:10 +0000 2023;1729539440358625420;""#Gempa Mag:4.4", 28-Nov-2023 23:31:01WIB, Lok:8.34LS, 119.59BT (37 km BaratLaut LABUANBAJO-NTT), Kedlmn:163 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 15:18:40 +0000 2023;1729520187609866244;""#Gempa (UPDATE) Mag:2.2", 28-Nov-23 21:42:13 WIB, Lok:6.85 LS, 107.07 BT (Pusat gempa berada di darat 8 km BaratDaya Kabupaten Cianjur)," Kedlmn:9 Km Dirasakan (MMI) II Cianjur #BMKG https://t.co/VLEqjR5fri"";0;0;5;24;in;108543358;1729520187609866244;infoBMKG;https://twitter.com/infoBMKG/status/1729520187609866244",,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 15:18:32 +0000 2023;1729520153820631292;""#Gempa Dirasakan Magnitudo: 2.2", Kedalaman: 9 km, 28 Nov 2023 21:42:13 WIB," Koordinat: 6.85 LS-107.07 BT (Pusat gempa berada di darat 8 km BaratDaya Kabupaten Cianjur) #BMKG https://t.co/OiHiTwvX8x"";0;0;1;4;in;108543358;1729520153820631292;infoBMKG;https://twitter.com/infoBMKG/status/1729520153820631292",,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 14:44:10 +0000 2023;1729511506344063016;""#Gempa Mag:2.3", 28-Nov-2023 21:42:13WIB, Lok:6.83LS, 107.04BT (11 km BaratDaya KAB-CIANJUR-JABAR), Kedlmn:14 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 14:06:11 +0000 2023;1729501949320388755;""#Gempa Mag:2.2", 28-Nov-2023 21:03:51WIB, Lok:3.00LS, 127.85BT (38 km BaratLaut SERAMBAGIANBARAT-MALUKU), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 13:28:04 +0000 2023;1729492355055821139;""#Gempa (UPDATE) Mag:2.1", 28-Nov-23 19:54:31 WIB, Lok:6.81 LS, 107.07 BT (Pusat gempa berada di darat 7 km BaratLaut Kabupaten Cianjur)," Kedlmn:7 Km Dirasakan (MMI) II Cianjur #BMKG https://t.co/ImspmBwjVH"";1;0;15;61;in;108543358;1729492355055821139;infoBMKG;https://twitter.com/infoBMKG/status/1729492355055821139",,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 13:27:56 +0000 2023;1729492320339513394;""#Gempa Dirasakan Magnitudo: 2.1", Kedalaman: 7 km, 28 Nov 2023 19:54:31 WIB," Koordinat: 6.81 LS-107.07 BT (Pusat gempa berada di darat 7 km BaratLaut Kabupaten Cianjur) #BMKG https://t.co/OiHiTwvX8x"";0;0;0;11;in;108543358;1729492320339513394;infoBMKG;https://twitter.com/infoBMKG/status/1729492320339513394",,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 12:43:10 +0000 2023;1729481055906972070;""#Gempa Mag:3.3", 28-Nov-2023 19:38:22WIB, Lok:1.46LU, 128.22BT (33 km BaratLaut HALMAHERATIMUR-MALUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 12:28:12 +0000 2023;1729477288755073271;""#Gempa Mag:3.4", 28-Nov-2023 19:24:52WIB, Lok:0.03LU, 121.99BT (47 km Tenggara POHUWATO-GORONTALO), Kedlmn:299 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 12:16:38 +0000 2023;1729474378906452007;""#Gempa (UPDATE) Mag:3.4", 28-Nov-23 18:40:19 WIB, Lok:2.38 LS, 120.89 BT (Pusat gempa berada di darat 38 km BaratLaut Luwu Timur)," Kedlmn:2 Km Dirasakan (MMI) III Angkona #BMKG https://t.co/9iIhZSSqQb"";0;0;3;12;in;108543358;1729474378906452007;infoBMKG;https://twitter.com/infoBMKG/status/1729474378906452007",,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 12:16:30 +0000 2023;1729474343733010808;""#Gempa Dirasakan Magnitudo: 3.4", Kedalaman: 2 km, 28 Nov 2023 18:40:19 WIB," Koordinat: 2.38 LS-120.89 BT (Pusat gempa berada di darat 38 km BaratLaut Luwu Timur) #BMKG https://t.co/OiHiTwvX8x"";0;0;2;10;in;108543358;1729474343733010808;infoBMKG;https://twitter.com/infoBMKG/status/1729474343733010808",,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:46:10 +0000 2023;1729466711240478923;""#Gempa Mag:3.5", 28-Nov-2023 18:40:19WIB, Lok:2.39LS, 120.91BT (36 km BaratLaut LUWUTIMUR-SULSEL), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:26:42 +0000 2023;1729461812389937174;""#Gempa (UPDATE) Mag:5.0", 28-Nov-23 18:03:05 WIB, Lok:2.04 LU, 129.00 BT (Pusat gempa berada di laut 78 Km Tenggara Daruba)," Kedlmn:10 Km Dirasakan (MMI) II Morotai Selatan #BMKG https://t.co/Zs1PcB4rGd"";0;0;7;11;in;108543358;1729461812389937174;infoBMKG;https://twitter.com/infoBMKG/status/1729461812389937174",,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:26:34 +0000 2023;1729461777157812412;""#Gempa Dirasakan Magnitudo: 5.0", Kedalaman: 10 km, 28 Nov 2023 18:03:05 WIB," Koordinat: 2.04 LU-129.00 BT (Pusat gempa berada di laut 78 Km Tenggara Daruba) #BMKG https://t.co/OiHiTwvX8x"";0;0;1;4;in;108543358;1729461777157812412;infoBMKG;https://twitter.com/infoBMKG/status/1729461777157812412",,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:17:09 +0000 2023;1729459409695449273;""#Gempa Mag:4.6", 28-Nov-2023 18:14:05WIB, Lok:2.09LU, 129.01BT (79 km TimurLaut DARUBA-MALUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:06:18 +0000 2023;1729456677618159762;""#Gempa Magnitudo: 5.0", Kedalaman: 10 km, 28 Nov 2023 18:03:05 WIB, Koordinat: 2.04 LU-129.00 BT (78 km Tenggara DARUBA-MALUT)," Tidak berpotensi tsunami #BMKG https://t.co/OiHiTwvX8x"";0;0;4;6;in;108543358;1729456677618159762;infoBMKG;https://twitter.com/infoBMKG/status/1729456677618159762",,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:06:17 +0000 2023;1729456672366800934;""#Gempa Mag:5.0", 28-Nov-23 18:03:05 WIB, Lok:2.04 LU,129.00 BT (78 km Tenggara DARUBA-MALUT), Kedlmn:10 Km,,,,,,,,,,,,,,,,,,,,,,
"Tue Nov 28 11:06:10 +0000 2023;1729456644617289947;""#Gempa Mag:4.9", 28-Nov-2023 18:03:05WIB, Lok:2.04LU, 129.00BT (78 km Tenggara DARUBA-MALUT), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan,,,,,,,,,,,,,,,,,,,,,,
