created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,
"Sat Dec 30 10:40:09 +0000 2023;1741046509687435703;""#Gempa Mag:3.4", 30-Dec-2023 17:36:19WIB, Lok:9.13LS, 123.71BT (77 km Tenggara LEMBATA-NTT), Kedlmn:24 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/jzljDQLRDp"";0;0;4;5;in;108543358;1741046509687435703;infoBMKG;https://twitter.com/infoBMKG/status/1741046509687435703",,,,,
"Sat Dec 30 10:32:11 +0000 2023;1741044502213861698;""#Gempa Mag:3.6", 30-Dec-2023 17:25:06WIB, Lok:2.18LS, 121.43BT (53 km TimurLaut LUWUTIMUR-SULSEL), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/T6nDwIXvfz"";0;0;1;5;in;108543358;1741044502213861698;infoBMKG;https://twitter.com/infoBMKG/status/1741044502213861698",,,,,
"Sat Dec 30 09:56:09 +0000 2023;1741035437274374270;""#Gempa Mag:3.5", 30-Dec-2023 16:53:50WIB, Lok:4.58LS, 102.59BT (38 km BaratDaya BENGKULUSELATAN), Kedlmn:19 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/pA4KNBs4t5"";1;1;5;15;in;108543358;1741035437274374270;infoBMKG;https://twitter.com/infoBMKG/status/1741035437274374270",,,,,
"Sat Dec 30 09:24:09 +0000 2023;1741027383019516323;""#Gempa Mag:3.3", 30-Dec-2023 16:17:26WIB, Lok:0.37LU, 121.59BT (40 km BaratDaya POHUWATO-GORONTALO), Kedlmn:112 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/0y9ddEITCR"";0;0;2;11;in;108543358;1741027383019516323;infoBMKG;https://twitter.com/infoBMKG/status/1741027383019516323",,,,,
"Sat Dec 30 09:18:10 +0000 2023;1741025875402129894;""#Gempa Mag:3.8", 30-Dec-2023 16:12:17WIB, Lok:6.20LS, 129.97BT (246 km BaratLaut MALUKUTENGGARABRT), Kedlmn:213 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/8cezrO1Z2w"";0;0;2;6;in;108543358;1741025875402129894;infoBMKG;https://twitter.com/infoBMKG/status/1741025875402129894",,,,,
"Sat Dec 30 07:03:09 +0000 2023;1740991899073400931;""#Gempa Mag:4.7", 30-Dec-2023 13:58:31WIB, Lok:4.52LS, 143.26BT (305 km TimurLaut PEG-BINTANG-PAPUA), Kedlmn:133 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/VX7PmrDUMS"";0;0;2;8;in;108543358;1740991899073400931;infoBMKG;https://twitter.com/infoBMKG/status/1740991899073400931",,,,,
"Sat Dec 30 05:55:09 +0000 2023;1740974786522784061;""#Gempa Mag:3.1", 30-Dec-2023 12:52:29WIB, Lok:0.07LS, 122.97BT (69 km BaratDaya BONEBOLANGO-GORONTALO), Kedlmn:140 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/s7z0c5hTCm"";0;0;3;7;in;108543358;1740974786522784061;infoBMKG;https://twitter.com/infoBMKG/status/1740974786522784061",,,,,
"Sat Dec 30 05:41:17 +0000 2023;1740971297277149472;""#Gempa (UPDATE) Mag:6.6", 30-Des-23 12:19:26 WIB, Lok:2.50 LU, 92.84 BT (Pusat gempa berada di laut 386 km BaratDaya Calang-Aceh Jaya), Kedlmn:10 Km Dirasakan (MMI) IV Aceh Selatan, IV Simeulue, III Aceh Barat Daya, II Aceh Besar," II Banda Aceh #BMKG https://t.co/yeCWzjABU0"";8;8;85;190;in;108543358;1740971297277149472;infoBMKG;https://twitter.com/infoBMKG/status/1740971297277149472",,
"Sat Dec 30 05:41:07 +0000 2023;1740971253568323795;""#Gempa Dirasakan Magnitudo: 6.6", Kedalaman: 10 km, 30 Des 2023 12:19:26 WIB," Koordinat: 2.50 LU-92.84 BT (Pusat gempa berada di laut 386 km BaratDaya Calang-Aceh Jaya) #BMKG https://t.co/OiHiTwvX8x"";0;0;6;18;in;108543358;1740971253568323795;infoBMKG;https://twitter.com/infoBMKG/status/1740971253568323795",,,,,,,
"Sat Dec 30 05:35:24 +0000 2023;1740969814615835088;""#Gempa (UPDATE) Mag:3.2", 30-Des-23 12:08:11 WIB, Lok:6.74 LS, 106.59 BT (Pusat gempa berada di darat 27 km TimurLaut Kab. Sukabumi), Kedlmn:9 Km Dirasakan (MMI) II-III Pamijahan," II-III Leuwiliang #BMKG https://t.co/fgbpxGUkgO"";3;2;17;65;in;108543358;1740969814615835088;infoBMKG;https://twitter.com/infoBMKG/status/1740969814615835088",,,,,
"Sat Dec 30 05:35:11 +0000 2023;1740969759922061776;""#Gempa Dirasakan Magnitudo: 3.2", Kedalaman: 9 km, 30 Des 2023 12:08:11 WIB," Koordinat: 6.74 LS-106.59 BT (Pusat gempa berada di darat 27 km TimurLaut Kab. Sukabumi) #BMKG https://t.co/OiHiTwvX8x"";0;0;1;12;in;108543358;1740969759922061776;infoBMKG;https://twitter.com/infoBMKG/status/1740969759922061776",,,,,,,
"Sat Dec 30 05:23:07 +0000 2023;1740966725053710829;""#Gempa Mag:6.5", 30-Dec-2023 12:19:26WIB, Lok:2.48LU, 92.84BT (387 km BaratDaya CALANG-ACEHJAYA), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/8gOig9kn9v"";38;48;186;382;in;108543358;1740966725053710829;infoBMKG;https://twitter.com/infoBMKG/status/1740966725053710829",,,,,
"Sat Dec 30 05:11:08 +0000 2023;1740963708707459100;""#Gempa Mag:3.1", 30-Dec-2023 12:08:12WIB, Lok:6.72LS, 106.59BT (26 km BaratDaya KOTA-BOGOR-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/9Nz1nLz240"";3;7;16;51;in;108543358;1740963708707459100;infoBMKG;https://twitter.com/infoBMKG/status/1740963708707459100",,,,,
