mag,depth,lat,lon,rad,pga,loc_encoded
3.0,10,-10.42,123.8,48,2,7
3.6,10,-9.82,116.27,123,2,8
3.5,33,1.52,126.54,114,2,5
2.0,10,-0.1,100.32,23,2,21
2.8,25,-7.65,106.56,73,2,4
3.6,10,2.95,127.61,125,2,5
3.5,13,0.89,125.93,108,2,15
3.1,10,-1.42,132.18,20,2,1
5.0,30,4.87,126.28,106,2,15
4.5,12,-8.45,128.67,103,2,14
4.0,10,-8.2,107.18,135,2,4
3.4,126,1.74,127.18,62,2,5
3.5,30,1.31,126.2,120,2,15
3.2,103,-0.13,122.84,81,2,12
3.1,28,-7.79,118.88,74,2,8
4.5,10,-0.35,125.93,177,2,5
2.9,10,-6.76,106.55,25,2,4
2.9,10,-10.22,124.09,34,2,7
2.9,10,-6.73,106.56,28,2,4
3.5,10,-6.76,106.53,25,2,4
3.4,15,2.97,96.39,55,2,24
3.0,10,1.03,119.88,99,2,11
3.7,10,-1.92,122.49,90,2,11
3.5,22,-8.07,117.79,62,2,8
4.3,80,4.85,126.5,96,2,15
3.0,10,0.27,126.36,125,2,5
3.4,10,2.13,122.16,157,2,11
3.4,10,2.11,122.07,149,2,11
3.0,44,-9.28,119.1,15,2,7
2.9,21,-8.02,107.36,107,2,4
3.5,34,-5.66,103.6,64,2,16
2.4,10,-2.93,119.4,8,2,32
3.5,23,0.77,97.28,29,2,2
4.1,10,-4.51,133.98,135,2,1
4.8,45,1.24,126.26,128,2,15
3.3,17,-9.52,114.34,127,2,23
4.0,17,-5.83,101.71,82,2,13
3.1,29,-9.97,123.99,11,2,7
3.2,52,-2.33,101.14,27,2,13
1.5,16,-8.51,121.95,31,2,7
3.8,10,5.37,126.47,154,2,15
3.7,86,-3.25,140.49,32,2,10
4.0,37,-9.55,119.12,15,2,7
4.4,10,-3.47,140.54,28,2,10
5.3,10,4.81,126.31,98,2,15
4.4,10,-3.4,128.75,25,2,3
3.3,22,-3.0,139.94,9,2,10
2.8,10,0.13,99.11,79,2,21
2.4,10,-0.39,100.39,8,2,21
3.2,17,1.19,127.05,48,2,5
2.9,213,-8.34,115.28,13,2,23
3.6,85,-3.5,101.89,34,2,33
3.1,10,5.09,95.85,31,2,34
3.8,16,0.34,98.62,93,2,2
3.4,304,1.82,124.16,83,2,15
4.2,10,-9.58,106.67,288,2,4
4.2,10,-9.58,106.67,288,2,4
4.2,10,-9.58,106.67,288,2,4
4.2,10,-9.58,106.67,288,2,4
3.6,10,1.81,126.52,129,2,5
4.3,36,-3.27,140.52,28,2,10
4.5,10,-9.01,111.31,95,2,31
2.8,10,-1.34,120.37,43,2,11
3.7,10,-2.66,140.23,55,2,10
2.9,101,2.05,98.9,8,2,2
3.6,20,0.49,126.71,79,2,5
3.4,16,-8.29,118.53,28,2,8
4.2,20,-6.07,103.92,97,2,16
2.7,11,-0.22,100.4,10,2,21
4.5,70,-4.51,133.92,135,2,1
3.7,14,-4.52,133.9,136,2,1
4.0,128,2.77,125.46,11,2,15
5.3,10,-4.46,133.91,130,2,1
5.3,10,-4.46,133.91,130,2,1
2.5,10,-7.15,109.87,24,2,35
5.1,24,0.12,96.5,142,2,2
5.2,14,0.1,96.47,146,2,2
3.8,10,-9.3,113.18,129,2,31
3.4,10,-8.51,108.1,99,2,4
2.9,33,-0.26,122.95,90,2,12
3.1,10,-2.32,119.2,40,2,32
4.6,43,4.86,126.41,100,2,15
4.1,87,5.09,126.44,124,2,15
5.1,10,-1.85,122.48,86,2,11
3.9,10,-2.97,101.55,65,2,13
2.9,155,-8.56,123.34,18,2,7
