mag,depth,rad,prov,lat,lon,prov_enco,kmeans,kmedoids
5.3,10.0,130.0,PAPUABRT,-4.46,133.91,1,0.0,2.0
2.5,10.0,24.0,JATENG,-7.15,109.87,33,2.0,0.0
5.2,14.0,146.0,SUMUT,0.1,96.47,2,3.0,3.0
3.8,10.0,129.0,JATIM,-9.3,113.18,29,0.0,2.0
3.4,10.0,99.0,JABAR,-8.51,108.1,4,0.0,2.0
2.9,33.0,90.0,GORONTALO,-0.26,122.95,12,0.0,2.0
3.1,10.0,40.0,SULBAR,-2.32,119.2,30,2.0,0.0
4.6,43.0,100.0,SULUT,4.86,126.41,15,0.0,2.0
4.1,87.0,124.0,SULUT,5.09,126.44,15,0.0,2.0
5.1,10.0,86.0,SULTENG,-1.85,122.48,11,0.0,2.0
3.9,10.0,65.0,BENGKULU,-2.97,101.55,13,0.0,2.0
2.9,155.0,18.0,NTT,-8.56,123.34,7,1.0,1.0
2.9,10.0,19.0,SULSEL,-2.52,121.01,17,2.0,0.0
4.4,76.0,140.0,SULUT,4.72,127.72,15,0.0,2.0
3.5,10.0,35.0,MALUT,1.57,128.68,5,2.0,0.0
3.8,11.0,124.0,SUMBAR,-0.33,98.8,20,0.0,2.0
4.0,11.0,65.0,ACEHBARATDAYA,3.43,96.54,34,0.0,2.0
4.4,147.0,208.0,MALUKUTENGGARABRT,-6.3,130.45,25,3.0,3.0
2.2,10.0,33.0,ACEH,4.99,95.98,23,2.0,0.0
3.9,476.0,123.0,SULSEL,-7.39,120.35,17,1.0,1.0
2.9,23.0,106.0,JABAR,-8.03,107.39,4,0.0,2.0
4.4,15.0,132.0,MALUKUTENGGARABRT,-7.08,130.51,25,0.0,2.0
3.4,10.0,17.0,JAMBI,-1.13,102.25,19,2.0,0.0
4.1,10.0,197.0,MALUKU,-4.88,130.48,6,3.0,3.0
3.0,22.0,82.0,GORONTALO,-0.2,123.07,12,0.0,2.0
2.9,13.0,92.0,NTT,-7.69,122.41,7,0.0,2.0
4.0,10.0,82.0,MALUT,-0.82,126.78,5,0.0,2.0
2.4,184.0,18.0,NTB,-8.53,117.58,8,1.0,1.0
